字詞名,注音一式
一大半,ㄧ　ㄉㄚˋ　ㄅㄢˋ　（變）ㄧˊ　ㄉㄚˋ　ㄅㄢˋ
一大早,ㄧ　ㄉㄚˋ　ㄗㄠˇ　（變）ㄧˊ　ㄉㄚˋ　ㄗㄠˇ
一刀兩斷,ㄧ　ㄉㄠ　ㄌㄧㄤˇ　ㄉㄨㄢˋ　（變）ㄧˋ　ㄉㄠ　ㄌㄧㄤˇ　ㄉㄨㄢˋ
一點點,ㄧ　ㄉㄧㄢˇ　ㄉㄧㄢˇ　（變）ㄧˋ　ㄉㄧㄢˇ　ㄉㄧㄢˇ
一點兒,ㄧ　ㄉㄧㄢˇㄦ　（變）ㄧˋ　ㄉㄧㄚˇㄦ
一肚子,ㄧ　ㄉㄨˋ　˙ㄗ　（變）ㄧˊ　ㄉㄨˋ　˙ㄗ
一塌糊塗,ㄧ　ㄊㄚ　ㄏㄨˊ　ㄊㄨˊ　（變）ㄧˋ　ㄊㄚ　ㄏㄨˊ　ㄊㄨˊ
一頭熱,ㄧ　ㄊㄡˊ　ㄖㄜˋ　（變）ㄧˋ　ㄊㄡˊ　ㄖㄜˋ
一頭霧水,ㄧ　ㄊㄡˊ　ㄨˋ　ㄕㄨㄟˇ　（變）ㄧˋ　ㄊㄡˊ　ㄨˋ　ㄕㄨㄟˇ
一探究竟,ㄧ　ㄊㄢˋ　ㄐㄧㄡˋ　ㄐㄧㄥˋ　（變）ㄧˊ　ㄊㄢˋ　ㄐㄧㄡˋ　ㄐㄧㄥˋ
一體兩面,ㄧ　ㄊㄧˇ　ㄌㄧㄤˇ　ㄇㄧㄢˋ　（變）ㄧˋ　ㄊㄧˇ　ㄌㄧㄤˇ　ㄇㄧㄢˋ
一條鞭,ㄧ　ㄊㄧㄠˊ　ㄅㄧㄢ　（變）ㄧˋ　ㄊㄧㄠˊ　ㄅㄧㄢ
一天到晚,ㄧ　ㄊㄧㄢ　ㄉㄠˋ　ㄨㄢˇ　（變）ㄧˋ　ㄊㄧㄢ　ㄉㄠˋ　ㄨㄢˇ
一團和氣,ㄧ　ㄊㄨㄢˊ　ㄏㄜˊ　ㄑㄧˋ　（變）ㄧˋ　ㄊㄨㄢˊ　ㄏㄜˊ　ㄑㄧˋ
一團糟,ㄧ　ㄊㄨㄢˊ　ㄗㄠ　（變）ㄧˋ　ㄊㄨㄢˊ　ㄗㄠ
一男半女,ㄧ　ㄋㄢˊ　ㄅㄢˋ　ㄋㄩˇ　（變）ㄧˋ　ㄋㄢˊ　ㄅㄢˋ　ㄋㄩˇ
一年半載,ㄧ　ㄋㄧㄢˊ　ㄅㄢˋ　ㄗㄞˇ　（變）ㄧˋ　ㄋㄧㄢˊ　ㄅㄢˋ　ㄗㄞˇ
一年到頭,ㄧ　ㄋㄧㄢˊ　ㄉㄠˋ　ㄊㄡˊ　（變）ㄧˋ　ㄋㄧㄢˊ　ㄉㄠˋ　ㄊㄡˊ
一念之間,ㄧ　ㄋㄧㄢˋ　ㄓ　ㄐㄧㄢ　（變）ㄧˊ　ㄋㄧㄢˋ　ㄓ　ㄐㄧㄢ
一念之差,ㄧ　ㄋㄧㄢˋ　ㄓ　ㄔㄚ　（變）ㄧˊ　ㄋㄧㄢˋ　ㄓ　ㄔㄚ
一諾千金,ㄧ　ㄋㄨㄛˋ　ㄑㄧㄢ　ㄐㄧㄣ　（變）ㄧˊ　ㄋㄨㄛˋ　ㄑㄧㄢ　ㄐㄧㄣ
一勞永逸,ㄧ　ㄌㄠˊ　ㄩㄥˇ　ㄧˋ　（變）ㄧˋ　ㄌㄠˊ　ㄩㄥˇ　ㄧˋ
一覽表,ㄧ　ㄌㄢˇ　ㄅㄧㄠˇ　（變）ㄧˋ　ㄌㄢˇ　ㄅㄧㄠˇ
一覽無遺,ㄧ　ㄌㄢˇ　ㄨˊ　ㄧˊ　（變）ㄧˋ　ㄌㄢˇ　ㄨˊ　ㄧˊ
一了百了,ㄧ　ㄌㄧㄠˇ　ㄅㄞˇ　ㄌㄧㄠˇ　（變）ㄧˋ　ㄌㄧㄠˇ　ㄅㄞˇ　ㄌㄧㄠˇ
一了心願,ㄧ　ㄌㄧㄠˇ　ㄒㄧㄣ　ㄩㄢˋ　（變）ㄧˋ　ㄌㄧㄠˇ　ㄒㄧㄣ　ㄩㄢˋ
一連串,ㄧ　ㄌㄧㄢˊ　ㄔㄨㄢˋ　（變）ㄧˋ　ㄌㄧㄢˊ　ㄔㄨㄢˋ
一鱗半爪,ㄧ　ㄌㄧㄣˊ　ㄅㄢˋ　ㄓㄠˇ　（語音）ㄧˋ　ㄌㄧㄣˊ　ㄅㄢˋ　ㄓㄨㄚˇ
一路順風,ㄧ　ㄌㄨˋ　ㄕㄨㄣˋ　ㄈㄥ　（變）ㄧˊ　ㄌㄨˋ　ㄕㄨㄣˋ　ㄈㄥ
一落千丈,ㄧ　ㄌㄨㄛˋ　ㄑㄧㄢ　ㄓㄤˋ　（變）ㄧˊ　ㄌㄨㄛˋ　ㄑㄧㄢ　ㄓㄤˋ
一個勁兒,ㄧ　ㄍㄜˋ　ㄐㄧㄥˋㄦ　（變）ㄧˊ　ㄍㄜˋ　ㄐㄧㄥˋㄦ
一乾二淨,ㄧ　ㄍㄢ　ㄦˋ　ㄐㄧㄥˋ　（變）ㄧˋ　ㄍㄢ　ㄦˋ　ㄐㄧㄥˋ
一骨碌,ㄧ　ㄍㄨ　ㄌㄨˋ　（變）ㄧ　ㄍㄨ　˙ㄌㄨ
一股腦兒,ㄧ　ㄍㄨˇ　ㄋㄠˇㄦ　（變）ㄧˋ　ㄍㄨˇ　ㄋㄠˇㄦ
一股勁兒,ㄧ　ㄍㄨˇ　ㄐㄧㄥˋㄦ　（變）ㄧˋ　ㄍㄨˇ　ㄐㄧㄥˋㄦ
一鼓作氣,ㄧ　ㄍㄨˇ　ㄗㄨㄛˋ　ㄑㄧˋ　（變）ㄧˋ　ㄍㄨˇ　ㄗㄨㄛˋ　ㄑㄧˋ
一官半職,ㄧ　ㄍㄨㄢ　ㄅㄢˋ　ㄓˊ　（變）ㄧˋ　ㄍㄨㄢ　ㄅㄢˋ　ㄓˊ
一貫道,ㄧ　ㄍㄨㄢˋ　ㄉㄠˋ　（變）ㄧˊ　ㄍㄨㄢˋ　ㄉㄠˋ
一貫作業,ㄧ　ㄍㄨㄢˋ　ㄗㄨㄛˋ　ㄧㄝˋ　（變）ㄧˊ　ㄍㄨㄢˋ　ㄗㄨㄛˋ　ㄧㄝˋ
一刻千金,ㄧ　ㄎㄜˋ　ㄑㄧㄢ　ㄐㄧㄣ　（變）ㄧˊ　ㄎㄜˋ　ㄑㄧㄢ　ㄐㄧㄣ
一口氣,ㄧ　ㄎㄡˇ　ㄑㄧˋ　（變）ㄧˋ　ㄎㄡˇ　ㄑㄧˋ
一口咬定,ㄧ　ㄎㄡˇ　ㄧㄠˇ　ㄉㄧㄥˋ　（變）ㄧˋ　ㄎㄡˇ　ㄧㄠˇ　ㄉㄧㄥˋ
一塊兒,ㄧ　ㄎㄨㄞˋㄦ　（變）ㄧˊ　ㄎㄨㄚˋㄦ
一窺堂奧,ㄧ　ㄎㄨㄟ　ㄊㄤˊ　ㄠˋ　（變）ㄧˋ　ㄎㄨㄟ　ㄊㄤˊ　ㄠˋ
一回事,ㄧ　ㄏㄨㄟˊ　ㄕˋ　（變）ㄧˋ　ㄏㄨㄟˊ　ㄕˋ
一會兒,ㄧ　ㄏㄨㄟˇㄦ　（變）ㄧˋ　ㄏㄨㄜˇㄦ
一晃眼,ㄧ　ㄏㄨㄤˇ　ㄧㄢˇ　（變）ㄧˋ　ㄏㄨㄤˇ　ㄧㄢˇ
一哄而散,ㄧ　ㄏㄨㄥ　ㄦˊ　ㄙㄢˋ　（變）ㄧˋ　ㄏㄨㄥ　ㄦˊ　ㄙㄢˋ
一己之私,ㄧ　ㄐㄧˇ　ㄓ　ㄙ　（變）ㄧˋ　ㄐㄧˇ　ㄓ　ㄙ
一技之長,ㄧ　ㄐㄧˋ　ㄓ　ㄔㄤˊ　（變）ㄧˊ　ㄐㄧˋ　ㄓ　ㄔㄤˊ
一技在身,ㄧ　ㄐㄧˋ　ㄗㄞˋ　ㄕㄣ　（變）ㄧˊ　ㄐㄧˋ　ㄗㄞˋ　ㄕㄣ
一甲子,ㄧ　ㄐㄧㄚˇ　ㄗˇ　（變）ㄧˋ　ㄐㄧㄚˇ　ㄗˇ
一價吃到飽,ㄧ　ㄐㄧㄚˋ　ㄔ　ㄉㄠˋ　ㄅㄠˇ　（變）ㄧˊ　ㄐㄧㄚˋ　ㄔ　ㄉㄠˋ　ㄅㄠˇ
一介不取,ㄧ　ㄐㄧㄝˋ　ㄅㄨˋ　ㄑㄩˇ　（變）ㄧˊ　ㄐㄧㄝˋ　ㄅㄨˋ　ㄑㄩˇ
一較高下,ㄧ　ㄐㄧㄠˋ　ㄍㄠ　ㄒㄧㄚˋ　（變）ㄧˊ　ㄐㄧㄠˋ　ㄍㄠ　ㄒㄧㄚˋ
一肩挑,ㄧ　ㄐㄧㄢ　ㄊㄧㄠ　（變）ㄧˋ　ㄐㄧㄢ　ㄊㄧㄠ
一見傾心,ㄧ　ㄐㄧㄢˋ　ㄑㄧㄥ　ㄒㄧㄣ　（變）ㄧˊ　ㄐㄧㄢˋ　ㄑㄧㄥ　ㄒㄧㄣ
一見鍾情,ㄧ　ㄐㄧㄢˋ　ㄓㄨㄥ　ㄑㄧㄥˊ　（變）ㄧˊ　ㄐㄧㄢˋ　ㄓㄨㄥ　ㄑㄧㄥˊ
一見如故,ㄧ　ㄐㄧㄢˋ　ㄖㄨˊ　ㄍㄨˋ　（變）ㄧˊ　ㄐㄧㄢˋ　ㄖㄨˊ　ㄍㄨˋ
一箭之仇,ㄧ　ㄐㄧㄢˋ　ㄓ　ㄔㄡˊ　（變）ㄧˊ　ㄐㄧㄢˋ　ㄓ　ㄔㄡˊ
一箭雙鵰,ㄧ　ㄐㄧㄢˋ　ㄕㄨㄤ　ㄉㄧㄠ　（變）ㄧˊ　ㄐㄧㄢˋ　ㄕㄨㄤ　ㄉㄧㄠ
一舉兩得,ㄧ　ㄐㄩˇ　ㄌㄧㄤˇ　ㄉㄜˊ　（變）ㄧˋ　ㄐㄩˇ　ㄌㄧㄤˇ　ㄉㄜˊ
一舉成名,ㄧ　ㄐㄩˇ　ㄔㄥˊ　ㄇㄧㄥˊ　（變）ㄧˋ　ㄐㄩˇ　ㄔㄥˊ　ㄇㄧㄥˊ
一舉數得,ㄧ　ㄐㄩˇ　ㄕㄨˋ　ㄉㄜˊ　（變）ㄧˋ　ㄐㄩˇ　ㄕㄨˋ　ㄉㄜˊ
一舉一動,ㄧ　ㄐㄩˇ　ㄧ　ㄉㄨㄥˋ　（變）ㄧˋ　ㄐㄩˇ　ㄧˊ　ㄉㄨㄥˋ
一決雌雄,ㄧ　ㄐㄩㄝˊ　ㄘ　ㄒㄩㄥˊ　（變）ㄧˋ　ㄐㄩㄝˊ　ㄘ　ㄒㄩㄥˊ
一蹶不振,ㄧ　ㄐㄩㄝˊ　ㄅㄨˋ　ㄓㄣˋ　（變）ㄧˋ　ㄐㄩㄝˊ　ㄅㄨˊ　ㄓㄣˋ
一氣呵成,ㄧ　ㄑㄧˋ　ㄏㄜ　ㄔㄥˊ　（變）ㄧˊ　ㄑㄧˋ　ㄏㄜ　ㄔㄥˊ
一氣之下,ㄧ　ㄑㄧˋ　ㄓ　ㄒㄧㄚˋ　（變）ㄧˊ　ㄑㄧˋ　ㄓ　ㄒㄧㄚˋ
一切從簡,ㄧ　ㄑㄧㄝˋ　ㄘㄨㄥˊ　ㄐㄧㄢˇ　（變）ㄧˊ　ㄑㄧㄝˋ　ㄘㄨㄥˊ　ㄐㄧㄢˇ
一竅不通,ㄧ　ㄑㄧㄠˋ　ㄅㄨˋ　ㄊㄨㄥ　（變）ㄧˊ　ㄑㄧㄠˋ　ㄅㄨˋ　ㄊㄨㄥ
一丘之貉,ㄧ　ㄑㄧㄡ　ㄓ　ㄏㄜˊ　（變）ㄧˋ　ㄑㄧㄡ　ㄓ　ㄏㄜˊ
一親芳澤,ㄧ　ㄑㄧㄣ　ㄈㄤ　ㄗㄜˊ　（變）ㄧˋ　ㄑㄧㄣ　ㄈㄤ　ㄗㄜˊ
一清專案,ㄧ　ㄑㄧㄥ　ㄓㄨㄢ　ㄢˋ　（變）ㄧˋ　ㄑㄧㄥ　ㄓㄨㄢ　ㄢˋ
一清二楚,ㄧ　ㄑㄧㄥ　ㄦˋ　ㄔㄨˇ　（變）ㄧˋ　ㄑㄧㄥ　ㄦˋ　ㄔㄨˇ
一去不返,ㄧ　ㄑㄩˋ　ㄅㄨˋ　ㄈㄢˇ　（變）ㄧˊ　ㄑㄩˋ　ㄅㄨˋ　ㄈㄢˇ
一席話,ㄧ　ㄒㄧˊ　ㄏㄨㄚˋ　（變）ㄧˋ　ㄒㄧˊ　ㄏㄨㄚˋ
一席之地,ㄧ　ㄒㄧˊ　ㄓ　ㄉㄧˋ　（變）ㄧˋ　ㄒㄧˊ　ㄓ　ㄉㄧˋ
一下子,ㄧ　ㄒㄧㄚˋ　˙ㄗ　（變）ㄧˊ　ㄒㄧㄚˋ　˙ㄗ
一瀉千里,ㄧ　ㄒㄧㄝˋ　ㄑㄧㄢ　ㄌㄧˇ　（變） ㄧˊ　ㄒㄧㄝˋ　ㄑㄧㄢ　ㄌㄧˇ
一笑置之,ㄧ　ㄒㄧㄠˋ　ㄓˋ　ㄓ　（變）ㄧˊ　ㄒㄧㄠˋ　ㄓˋ　ㄓ
一線希望,ㄧ　ㄒㄧㄢˋ　ㄒㄧ　ㄨㄤˋ　（變）ㄧˊ　ㄒㄧㄢˋ　ㄒㄧ　ㄨㄤˋ
一線生機,ㄧ　ㄒㄧㄢˋ　ㄕㄥ　ㄐㄧ　（變）ㄧˊ　ㄒㄧㄢˋ　ㄕㄥ　ㄐㄧ
一線曙光,ㄧ　ㄒㄧㄢˋ　ㄕㄨˋ　ㄍㄨㄤ　（變）ㄧˊ　ㄒㄧㄢˋ　ㄕㄨˋ　ㄍㄨㄤ
一心一德,ㄧ　ㄒㄧㄣ　ㄧ　ㄉㄜˊ　（變）ㄧˋ　ㄒㄧㄣ　ㄧˋ　ㄉㄜˊ
一心一意,ㄧ　ㄒㄧㄣ　ㄧ　ㄧˋ　（變）ㄧˋ　ㄒㄧㄣ　ㄧˊ　ㄧˋ
一新耳目,ㄧ　ㄒㄧㄣ　ㄦˇ　ㄇㄨˋ　（變）ㄧˋ　ㄒㄧㄣ　ㄦˇ　ㄇㄨˋ
一相情願,ㄧ　ㄒㄧㄤ　ㄑㄧㄥˊ　ㄩㄢˋ　（變）ㄧˋ　ㄒㄧㄤ　ㄑㄧㄥˊ　ㄩㄢˋ
一廂情願,ㄧ　ㄒㄧㄤ　ㄑㄧㄥˊ　ㄩㄢˋ　（變）ㄧˋ　ㄒㄧㄤ　ㄑㄧㄥˊ　ㄩㄢˋ
一行人,ㄧ　ㄒㄧㄥˊ　ㄖㄣˊ　（變）ㄧˋ　ㄒㄧㄥˊ　ㄖㄣˊ
一知半解,ㄧ　ㄓ　ㄅㄢˋ　ㄐㄧㄝˇ　（變）ㄧˋ　ㄓ　ㄅㄢˋ　ㄐㄧㄝˇ
一枝獨秀,ㄧ　ㄓ　ㄉㄨˊ　ㄒㄧㄡˋ　（變）ㄧˋ　ㄓ　ㄉㄨˊ　ㄒㄧㄡˋ
一擲千金,ㄧ　ㄓˊ　ㄑㄧㄢ　ㄐㄧㄣ　（變）ㄧˋ　ㄓˊ　ㄑㄧㄢ　ㄐㄧㄣ
一制性資源定位法,ㄧ　ㄓˋ　ㄒㄧㄥˋ　ㄗ　ㄩㄢˊ　ㄉㄧㄥˋ　ㄨㄟˋ　ㄈㄚˇ　（變）ㄧˊ　ㄓˋ　ㄒㄧㄥˋ　ㄗ　ㄩㄢˊ　ㄉㄧㄥˋ　ㄨㄟˋ　ㄈㄚˇ
一眨眼,ㄧ　ㄓㄚˇ　ㄧㄢˇ　（變）ㄧˋ　ㄓㄚˇ　ㄧㄢˇ
一朝一夕,ㄧ　ㄓㄠ　ㄧ　ㄒㄧˋ　（變）ㄧˋ　ㄓㄠ　ㄧˊ　ㄒㄧˋ
一展長才,ㄧ　ㄓㄢˇ　ㄔㄤˊ　ㄘㄞˊ　（變）ㄧˋ　ㄓㄢˇ　ㄔㄤˊ　ㄘㄞˊ
一盞茶工夫,ㄧ　ㄓㄢˇ　ㄔㄚˊ　ㄍㄨㄥ　˙ㄈㄨ　（變）ㄧˋ　ㄓㄢˇ　ㄔㄚˊ　ㄍㄨㄥ　˙ㄈㄨ
一針見血,ㄧ　ㄓㄣ　ㄐㄧㄢˋ　ㄒㄧㄝˇ　（變）ㄧˋ　ㄓㄣ　ㄐㄧㄢˋ　ㄒㄧㄝˇ
一陣子,ㄧ　ㄓㄣˋ　˙ㄗ　（變）ㄧˊ　ㄓㄣˋ　˙ㄗ
一整天,ㄧ　ㄓㄥˇ　ㄊㄧㄢ　（變）ㄧˋ　ㄓㄥˇ　ㄊㄧㄢ
一炷香,ㄧ　ㄓㄨˋ　ㄒㄧㄤ　（變）ㄧˊ　ㄓㄨˋ　ㄒㄧㄤ
一轉眼,ㄧ　ㄓㄨㄢˇ　ㄧㄢˇ　（變）ㄧˋ　ㄓㄨㄢˇ　ㄧㄢˇ
一剎那,ㄧ　ㄔㄚˋ　ㄋㄚˋ　（變）ㄧˊ　ㄔㄚˋ　ㄋㄚˋ
一籌莫展,ㄧ　ㄔㄡˊ　ㄇㄛˋ　ㄓㄢˇ　（變）ㄧˋ　ㄔㄡˊ　ㄇㄛˋ　ㄓㄢˇ
一塵不染,ㄧ　ㄔㄣˊ　ㄅㄨˋ　ㄖㄢˇ　（變）ㄧˋ　ㄔㄣˊ　ㄅㄨˋ　ㄖㄢˇ
一償宿願,ㄧ　ㄔㄤˊ　ㄙㄨˋ　ㄩㄢˋ　（變）ㄧˋ　ㄔㄤˊ　ㄙㄨˋ　ㄩㄢˋ
一成不變,ㄧ　ㄔㄥˊ　ㄅㄨˋ　ㄅㄧㄢˋ　（變）ㄧˋ　ㄔㄥˊ　ㄅㄨˊ　ㄅㄧㄢˋ
一觸即發,ㄧ　ㄔㄨˋ　ㄐㄧˊ　ㄈㄚ　（變）ㄧˊ　ㄔㄨˋ　ㄐㄧˊ　ㄈㄚ
一失足成千古恨,ㄧ　ㄕ　ㄗㄨˊ　ㄔㄥˊ　ㄑㄧㄢ　ㄍㄨˇ　ㄏㄣˋ　（變）ㄧˋ　ㄕ　ㄗㄨˊ　ㄔㄥˊ　ㄑㄧㄢ　ㄍㄨˇ　ㄏㄣˋ
一石兩鳥,ㄧ　ㄕˊ　ㄌㄧㄤˇ　ㄋㄧㄠˇ　（變）ㄧˋ　ㄕˊ　ㄌㄧㄤˇ　ㄋㄧㄠˇ
一時之間,ㄧ　ㄕˊ　ㄓ　ㄐㄧㄢ　（變）ㄧˋ　ㄕˊ　ㄓ　ㄐㄧㄢ
一視同仁,ㄧ　ㄕˋ　ㄊㄨㄥˊ　ㄖㄣˊ　（變）ㄧˊ　ㄕˋ　ㄊㄨㄥˊ　ㄖㄣˊ
一事無成,ㄧ　ㄕˋ　ㄨˊ　ㄔㄥˊ　（變）ㄧˊ　ㄕˋ　ㄨˊ　ㄔㄥˊ
一手包辦,ㄧ　ㄕㄡˇ　ㄅㄠ　ㄅㄢˋ　（變）ㄧˋ　ㄕㄡˇ　ㄅㄠ　ㄅㄢˋ
一手遮天,ㄧ　ㄕㄡˇ　ㄓㄜ　ㄊㄧㄢ　（變）ㄧˋ　ㄕㄡˇ　ㄓㄜ　ㄊㄧㄢ
一閃神,ㄧ　ㄕㄢˇ　ㄕㄣˊ　（變）ㄧˋ　ㄕㄢˇ　ㄕㄣˊ
一身是膽,ㄧ　ㄕㄣ　ㄕˋ　ㄉㄢˇ　（變）ㄧˋ　ㄕㄣ　ㄕˋ　ㄉㄢˇ
一聲不響,ㄧ　ㄕㄥ　ㄅㄨˋ　ㄒㄧㄤˇ　（變）ㄧˋ　ㄕㄥ　ㄅㄨˋ　ㄒㄧㄤˇ
一聲令下,ㄧ　ㄕㄥ　ㄌㄧㄥˋ　ㄒㄧㄚˋ　（變）ㄧˋ　ㄕㄥ　ㄌㄧㄥˋ　ㄒㄧㄚˋ
一瞬間,ㄧ　ㄕㄨㄣˋ　ㄐㄧㄢ　（變）ㄧˊ　ㄕㄨㄣˋ　ㄐㄧㄢ
一日不見，如隔三秋,ㄧ　ㄖˋ　ㄅㄨˋ　ㄐㄧㄢˋ　ㄖㄨˊ　ㄍㄜˊ　ㄙㄢ　ㄑㄧㄡ　（變）ㄧˊ　ㄖˋ　ㄅㄨˊ　ㄐㄧㄢˋ　ㄖㄨˊ　ㄍㄜˊ　ㄙㄢ　ㄑㄧㄡ
一日千里,ㄧ　ㄖˋ　ㄑㄧㄢ　ㄌㄧˇ　（變）ㄧˊ　ㄖˋ　ㄑㄧㄢ　ㄌㄧˇ
一日三秋,ㄧ　ㄖˋ　ㄙㄢ　ㄑㄧㄡ　（變）ㄧˊ　ㄖˋ　ㄙㄢ　ㄑㄧㄡ
一如既往,ㄧ　ㄖㄨˊ　ㄐㄧˋ　ㄨㄤˇ　（變）ㄧˋ　ㄖㄨˊ　ㄐㄧˋ　ㄨㄤˇ
一字千金,ㄧ　ㄗˋ　ㄑㄧㄢ　ㄐㄧㄣ　（變）ㄧˊ　ㄗˋ　ㄑㄧㄢ　ㄐㄧㄣ
一走了之,ㄧ　ㄗㄡˇ　ㄌㄧㄠˇ　ㄓ　（變）ㄧˋ　ㄗㄡˇ　ㄌㄧㄠˇ　ㄓ
一次全倒,ㄧ　ㄘˋ　ㄑㄩㄢˊ　ㄉㄠˇ　（變）ㄧˊ　ㄘˋ　ㄑㄩㄢˊ　ㄉㄠˇ
一蹴可幾,ㄧ　ㄘㄨˋ　ㄎㄜˇ　ㄐㄧ　（變）ㄧˊ　ㄘㄨˋ　ㄎㄜˇ　ㄐㄧ
一絲不苟,ㄧ　ㄙ　ㄅㄨˋ　ㄍㄡˇ　（變）ㄧˋ　ㄙ　ㄅㄨˋ　ㄍㄡˇ
一絲不掛,ㄧ　ㄙ　ㄅㄨˋ　ㄍㄨㄚˋ　（變）ㄧˋ　ㄙ　ㄅㄨˊ　ㄍㄨㄚˋ
一絲絲,ㄧ　ㄙ　ㄙ　（變）ㄧˋ　ㄙ　ㄙ
一絲一毫,ㄧ　ㄙ　ㄧ　ㄏㄠˊ　（變）ㄧˋ　ㄙ　ㄧˋ　ㄏㄠˊ
一掃而光,ㄧ　ㄙㄠˇ　ㄦˊ　ㄍㄨㄤ　（變）ㄧˋ　ㄙㄠˇ　ㄦˊ　ㄍㄨㄤ
一意孤行,ㄧ　ㄧˋ　ㄍㄨ　ㄒㄧㄥˊ　（變）ㄧˊ　ㄧˋ　ㄍㄨ　ㄒㄧㄥˊ
一葉知秋,ㄧ　ㄧㄝˋ　ㄓ　ㄑㄧㄡ　（變）ㄧˊ　ㄧㄝˋ　ㄓ　ㄑㄧㄡ
一言不發,ㄧ　ㄧㄢˊ　ㄅㄨˋ　ㄈㄚ　（變）ㄧˋ　ㄧㄢˊ　ㄅㄨˋ　ㄈㄚ
一言不合,ㄧ　ㄧㄢˊ　ㄅㄨˋ　ㄏㄜˊ　（變）ㄧˋ　ㄧㄢˊ　ㄅㄨˋ　ㄏㄜˊ
一言難盡,ㄧ　ㄧㄢˊ　ㄋㄢˊ　ㄐㄧㄣˋ　（變）ㄧˋ　ㄧㄢˊ　ㄋㄢˊ　ㄐㄧㄣ
一言既出，駟馬難追,ㄧ　ㄧㄢˊ　ㄐㄧˋ　ㄔㄨ　ㄙˋ　ㄇㄚˇ　ㄋㄢˊ　ㄓㄨㄟ　（變）ㄧˋ　ㄧㄢˊ　ㄐㄧˋ　ㄔㄨ　ㄙˋ　ㄇㄚˇ　ㄋㄢˊ　ㄓㄨㄟ
一言九鼎,ㄧ　ㄧㄢˊ　ㄐㄧㄡˇ　ㄉㄧㄥˇ　（變）ㄧˋ　ㄧㄢˊ　ㄐㄧㄡˇ　ㄉㄧㄥˇ
一言以蔽之,ㄧ　ㄧㄢˊ　ㄧˇ　ㄅㄧˋ　ㄓ　（變）ㄧˋ　ㄧㄢˊ　ㄧˇ　ㄅㄧˋ　ㄓ
一言為定,ㄧ　ㄧㄢˊ　ㄨㄟˊ　ㄉㄧㄥˋ　（變）ㄧˋ　ㄧㄢˊ　ㄨㄟˊ　ㄉㄧㄥˋ
一飲而盡,ㄧ　ㄧㄣˇ　ㄦˊ　ㄐㄧㄣˋ　（變）ㄧˋ　ㄧㄣˇ　ㄦˊ　ㄐㄧㄣˋ
一氧化碳,ㄧ　ㄧㄤˇ　ㄏㄨㄚˋ　ㄊㄢˋ
一應俱全,ㄧ　ㄧㄥ　ㄐㄩˋ　ㄑㄩㄢˊ　（變）ㄧˋ　ㄧㄥ　ㄐㄩˋ　ㄑㄩㄢˊ
一無是處,ㄧ　ㄨˊ　ㄕˋ　ㄔㄨˋ　（變）ㄧˋ　ㄨˊ　ㄕˋ　ㄔㄨˋ
一無所知,ㄧ　ㄨˊ　ㄙㄨㄛˇ　ㄓ　（變）ㄧˋ　ㄨˊ　ㄙㄨㄛˇ　ㄓ
一無所有,ㄧ　ㄨˊ　ㄙㄨㄛˇ　ㄧㄡˇ　（變）ㄧˋ　ㄨˊ　ㄙㄨㄛˇ　ㄧㄡˇ
一五一十,ㄧ　ㄨˇ　ㄧ　ㄕˊ　（變）ㄧˋ　ㄨˇ　ㄧˋ　ㄕˊ
一窩蜂,ㄧ　ㄨㄛ　ㄈㄥ　（變）ㄧˋ　ㄨㄛ　ㄈㄥ
一文不值,ㄧ　ㄨㄣˊ　ㄅㄨˋ　ㄓˊ　（變）ㄧˋ　ㄨㄣˊ　ㄅㄨˋ　ㄓˊ
一問三不知,ㄧ　ㄨㄣˋ　ㄙㄢ　ㄅㄨˋ　ㄓ　（變）ㄧˊ　ㄨㄣˋ　ㄙㄢ　ㄅㄨˋ　ㄓ
一往情深,ㄧ　ㄨㄤˇ　ㄑㄧㄥˊ　ㄕㄣ　（變）ㄧˋ　ㄨㄤˇ　ㄑㄧㄥˊ　ㄕㄣ
一網打盡,ㄧ　ㄨㄤˇ　ㄉㄚˇ　ㄐㄧㄣˋ　（變）ㄧˋ　ㄨㄤˇ　ㄉㄚˇ　ㄐㄧㄣˋ
一望無際,ㄧ　ㄨㄤˋ　ㄨˊ　ㄐㄧˋ　（變）ㄧˊ　ㄨㄤˋ　ㄨˊ　ㄐㄧˋ
一望無垠,ㄧ　ㄨㄤˋ　ㄨˊ　ㄧㄣˊ　（變）ㄧˊ　ㄨㄤˋ　ㄨˊ　ㄧㄣˊ
一語道破,ㄧ　ㄩˇ　ㄉㄠˋ　ㄆㄛˋ　（變）ㄧˋ　ㄩˇ　ㄉㄠˋ　ㄆㄛˋ
一語中的,ㄧ　ㄩˇ　ㄓㄨㄥˋ　ㄉㄧˋ　（變）ㄧˋ　ㄩˇ　ㄓㄨㄥˋ　ㄉㄧˋ
一躍而起,ㄧ　ㄩㄝˋ　ㄦˊ　ㄑㄧˇ　（變）ㄧˊ　ㄩㄝˋ　ㄦˊ　ㄑㄧˇ
一元復始,ㄧ　ㄩㄢˊ　ㄈㄨˋ　ㄕˇ　（變）ㄧˋ　ㄩㄢˊ　ㄈㄨˋ　ㄕˇ
衣不蔽體,ㄧ　ㄅㄨˋ　ㄅㄧˋ　ㄊㄧˇ　（變）ㄧ　ㄅㄨˊ　ㄅㄧˋ　ㄊㄧˇ
